name,player_id,guild_name,guild_id,points_change,battles_change,points,battles
Schreck 31.,9866839,Astra 💫 Australis,20187,21068899,1169,9089756952,1529276
Pitty die Einzigartige,9052762,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,21952469,1138,8497678989,1449488
MichTo,4087524,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,16026541,922,8464888217,1645773
Ronzel66,4025760,Force of Nature,21629,11205301,564,8384831579,1080666
Shioban,8647643,Outsiders,343,11750133,649,8000013824,1147977
Alcina,2134567,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,7091821,966,7666769751,1648257
Diora,7970148,🥇 Neuaufsteher 🥇,12806,18449645,761,7638642814,1041443
Lord 300,849847657,Outsiders,343,28034522,817,7574699590,1157824
Waranus,3990889,Outsiders,343,5043992,318,7479351139,1640342
Sir Kiran,4378638,🐉DragonRocker🏴‍☠️,7226,555430,141,7409840656,1398874
Trotha,5853737,Outsiders,343,14977190,672,7371085860,1408540
Scofield 47,2485748,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,20555220,889,7346532339,1175823
Müsli x,7784860,Die Flitzpiepen 🦄,20795,12640506,1283,7330631853,1444184
Frankyboy1801,5864888,FunFighters,3537,18871712,588,7277579252,1251414
Hugo Who?,5113380,Outsiders,343,7907008,920,7065252297,1236369
oO AntaresAngel Oo,4087205,Outsiders,343,17167244,1421,7030458545,1310753
Bongo der Kampfhamster,7723206,Outsiders,343,13065770,1317,6974413395,1199483
The Mighty Bull,5691099,Outsiders,343,12419084,787,6921988479,1194721
Muwatallis,8841508,Outsiders,343,16450758,659,6603197901,1228575
Gurney Halleck,10354135,𝖁𝖆𝖑𝖍𝖆𝖑𝖑𝖆,22349,3971632,93,6420301265,1169757
Schwanenkönigin,8585464,Ohschlafe,25725,7650645,612,6413447751,1169017
Epiktet Roma,2351138,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,14014454,449,6270297610,925985
Floderix,6067897,Fighting Porcupines,22345,15046689,597,6252349461,1011250
Slow,8309922,Kunyaza,21880,0,0,6202636900,1453808
ser allisar,2332553,Black Phönix,17642,4907063,497,6153419332,1262645
ArKa 74,2343149,🥇 Neuaufsteher 🥇,12806,18770151,922,6077192000,1040593
Lennart1909,2482567,Outsiders,343,16508000,752,5893283985,964888
Rasasgul123,8510767,🥇 Neuaufsteher 🥇,12806,15502525,721,5831479972,1195095
Zoryc,5170413,Weisse Rose,6843,17209077,846,5822826813,1098982
Elektra 1,6359913,🥇 Neuaufsteher 🥇,12806,3249756,431,5808371378,862304
Teldus,3235403,🥇 Neuaufsteher 🥇,12806,9669268,1153,5777522528,1067069
*Grobi*,9718409,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,9939186,561,5763942872,1215882
Stony3,9832738,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,19691416,966,5742663334,869081
