name,player_id,guild_name,guild_id,points_change,battles_change,era,points,battles
Schreck 31.,9866839,Astra 💫 Australis,20187,14852695,582,SpaceAgeSpaceHub,9190116624,1534054
Pitty die Einzigartige,9052762,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,19881212,904,SpaceAgeSpaceHub,8664988659,1456036
MichTo,4087524,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,17122742,981,SpaceAgeSpaceHub,8583340045,1652297
Ronzel66,4025760,Force of Nature,21629,5765027,193,SpaceAgeSpaceHub,8465759417,1082784
Shioban,8647643,Outsiders,343,23252649,882,SpaceAgeSpaceHub,8103773397,1151731
Diora,7970148,🥇 Neuaufsteher 🥇,12806,19594956,731,SpaceAgeSpaceHub,7781832866,1046897
Alcina,2134567,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,6736131,161,SpaceAgeSpaceHub,7729177789,1651824
Lord 300,849847657,Outsiders,343,19765920,800,SpaceAgeSpaceHub,7718603467,1162576
Trotha,5853737,Outsiders,343,8511582,340,SpaceAgeSpaceHub,7580599579,1412352
Waranus,3990889,Outsiders,343,10126808,385,SpaceAgeSpaceHub,7568063955,1644612
Sir Kiran,4378638,🐉DragonRocker🏴‍☠️,7226,21099257,686,SpaceAgeSpaceHub,7546081589,1403869
Scofield 47,2485748,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,21219099,631,SpaceAgeSpaceHub,7489792332,1180855
Müsli x,7784860,Die Flitzpiepen 🦄,20795,5556269,461,SpaceAgeSpaceHub,7409015861,1450199
Frankyboy1801,5864888,FunFighters,3537,13451585,481,SpaceAgeSpaceHub,7378345367,1255607
Hugo Who?,5113380,Outsiders,343,8945300,775,SpaceAgeSpaceHub,7140702677,1241071
oO AntaresAngel Oo,4087205,Outsiders,343,11308674,793,SpaceAgeSpaceHub,7140379202,1315905
Bongo der Kampfhamster,7723206,Outsiders,343,13864761,797,SpaceAgeSpaceHub,7073116691,1206306
The Mighty Bull,5691099,Outsiders,343,9001851,579,SpaceAgeSpaceHub,7009457655,1198595
Muwatallis,8841508,Outsiders,343,9001246,322,SpaceAgeSpaceHub,6715583573,1232240
Gurney Halleck,10354135,𝖁𝖆𝖑𝖍𝖆𝖑𝖑𝖆,22349,9929845,374,SpaceAgeSpaceHub,6524603760,1173471
Elise*,8585464,Ohschlafe,25725,12558005,737,SpaceAgeSpaceHub,6505223013,1174475
Epiktet Roma,2351138,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,10964224,714,SpaceAgeSpaceHub,6407972800,932794
Floderix,6067897,Fighting Porcupines,22345,19648303,672,SpaceAgeSpaceHub,6396244179,1016250
ser allisar,2332553,Black Phönix,17642,6925115,645,SpaceAgeSpaceHub,6209585944,1267928
Slow,8309922,Kunyaza,21880,0,0,SpaceAgeSpaceHub,6202636900,1453808
ArKa 74,2343149,🥇 Neuaufsteher 🥇,12806,5228147,337,SpaceAgeSpaceHub,6174814848,1045938
Lennart1909,2482567,Outsiders,343,16809052,548,SpaceAgeSpaceHub,5982721476,969371
Elektra 1,6359913,🥇 Neuaufsteher 🥇,12806,14339089,377,SpaceAgeSpaceHub,5947624492,868318
